Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Wing_area,Wing_shape,Wing_vein,Asymmetry_wing_area,Asymmetry_wing_shape,Asymmetry_wing_vein
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,1,female,1.223,2.296,2.597,0.043,0.01,0.028
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,1,male,1.006,2.289,2.528,0.006,0.018,0.044
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,2,female,1.149,2.34,2.58,0.039,0.053,0.14
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,2,male,1,2.18,2.508,0.016,0.007,0.074
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,1,female,1.16,2.275,2.589,0.003,0.005,0.1
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,1,male,0.968,2.293,2.604,0.019,0.004,0.042
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,2,male,1.025,2.259,2.613,0.014,0.031,0.035
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,3,male,0.949,2.231,2.63,0.03,0.042,0.099
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,1,female,1.175,2.34,2.572,0.052,0.019,0.018
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,1,male,0.967,2.292,2.501,0.026,0.052,0.076
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,2,female,1.071,2.296,2.527,0.001,0.05,0.04
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,2,male,0.996,2.176,2.626,0.026,0.079,0.246
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,3,female,1.193,2.271,2.583,0.026,0.006,0.095
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,4,1,female,1.197,2.261,2.596,0.022,0.007,0.017
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,4,1,male,1.024,2.295,2.436,0.006,0.029,0.047
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,4,2,male,0.872,,2.332,,,0.085
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,4,3,male,1.025,2.214,2.416,0.018,0.029,0.042
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,1,female,1.143,2.239,2.444,0.028,0.091,0.006
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,1,male,1.018,2.098,2.403,0.013,0.027,0.052
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,2,female,1.153,2.296,2.723,0.044,0.072,0.229
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,2,male,0.998,2.309,2.558,0.05,0.043,0.164
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,3,female,1.157,2.239,2.49,0.029,0.046,0.094
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,1,female,1.184,2.272,2.516,0.04,0.015,0.073
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,1,male,0.957,2.218,2.569,0.013,0.075,0.126
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,2,female,1.061,2.272,2.571,0.014,0.062,0.031
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,2,male,1.012,2.332,2.617,0.019,0.032,0.002
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,3,female,1.166,,2.588,,,
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,3,male,0.976,2.163,2.489,0.02,0.01,0.121
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,1,female,1.057,2.204,2.477,0.105,0.056,0.074
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,1,male,1.042,2.247,2.598,0.015,0.004,0.015
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,2,female,1.189,2.235,2.465,0.028,0.048,0.039
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,2,male,1.06,2.262,2.604,0.011,0.005,0.002
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,3,female,1.222,2.262,2.526,0.034,0.029,0.036
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,3,male,1.015,2.273,2.392,0,0.019,0.03
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,1,female,1.213,2.225,2.513,0.012,0.056,0.114
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,1,male,0.984,2.336,2.789,0.021,0.001,0.064
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,2,female,1.153,2.353,2.644,0.04,0.043,0.129
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,2,male,0.972,2.335,2.664,0.003,0.011,0.14
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,3,female,1.204,2.271,2.612,0.005,0.078,0.156
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,3,male,0.978,2.219,2.693,0.03,0.039,0.15
D.aldrichi,Binjour,-25.52,151.45,1994,1994,20,9,1,female,1.2,2.3,2.626,0.017,0.054,0.034
